district,month,SO2,NOx,PM10,PM2.5,NH3,year
Nizamabad,Apr,5.6,23.4,62.0,,,2019
Nizamabad,May,5.5,25.0,64.0,,,2019
Nizamabad,Jun,5.7,26.0,64.0,41.0,,2019
Nizamabad,Jul,5.4,25.6,64.0,43.0,,2019
Nizamabad,Aug,4.8,24.4,65.0,42.0,,2019
Nizamabad,Sep,4.4,23.5,61.0,,,2019
Nizamabad,Oct,4.8,25.2,64.0,39.0,,2019
Nizamabad,Nov,4.6,24.7,62.0,,,2019
Nizamabad,Dec,5.4,25.9,63.0,40.0,,2019
Adilabad,Jan,5.9,24.8,74.0,45.0,,2019
Adilabad,Feb,6.0,24.8,75.0,46.0,,2019
Adilabad,Mar,5.7,24.5,76.0,46.0,,2019
Adilabad,Apr,5.7,24.3,77.0,44.0,,2019
Adilabad,May,5.2,24.8,80.0,45.0,,2019
Adilabad,Jun,5.4,25.7,75.0,43.0,,2019
Adilabad,Jul,5.5,26.0,76.0,45.0,,2019
Adilabad,Aug,4.7,24.3,77.0,46.0,,2019
Adilabad,Sep,4.4,23.5,57.0,44.0,,2019
Adilabad,Oct,4.7,24.9,72.0,,,2019
Adilabad,Nov,4.5,24.6,75.0,47.0,,2019
Adilabad,Dec,5.2,25.7,73.0,,,2019
Karimnagar,Jan,10.9,54.95,115.5,,64.0,2019
Karimnagar,Feb,10.65,58.45,108.0,,66.5,2019
Karimnagar,Mar,10.55,58.0,106.0,,72.0,2019
Karimnagar,Apr,10.4,60.5,110.5,,76.0,2019
Karimnagar,May,10.3,59.75,105.5,,73.5,2019
Karimnagar,Jun,9.15,50.6,100.0,,70.5,2019
Karimnagar,Jul,9.1,47.4,102.0,,63.5,2019
Karimnagar,Aug,8.5,50.55,101.5,,72.0,2019
Karimnagar,Sep,8.0,50.35,92.0,,62.5,2019
Karimnagar,Oct,7.300000000000001,52.85,106.0,,72.0,2019
Karimnagar,Nov,7.118518518518519,53.13611111111111,108.5,,71.0,2019
Karimnagar,Dec,6.85,56.05,116.0,,74.5,2019
Warangal,Jan,10.2,52.85,89.5,,66.0,2019
Warangal,Feb,10.042407407407406,56.45,90.5,,66.0,2019
Warangal,Mar,10.15,58.0,91.0,34.0,67.5,2019
Warangal,Apr,10.1,55.15,91.5,,70.0,2019
Warangal,May,9.55,55.45,92.5,,70.0,2019
Warangal,Jun,8.55,47.2,87.0,,66.5,2019
Warangal,Jul,8.45,46.1,88.0,,61.5,2019
Warangal,Aug,8.2,46.15,81.0,,67.5,2019
Warangal,Sep,7.9,47.9,74.5,,62.5,2019
Warangal,Oct,7.35,49.65,88.5,,61.5,2019
Warangal,Nov,7.064814814814815,50.44444444444444,89.5,,63.5,2019
Warangal,Dec,6.55,51.25,88.5,,69.0,2019
Nizamabad,Jan,5.5,27.3,60.0,37.0,10.0,2020
Nizamabad,Feb,5.5,26.6,60.0,38.0,10.0,2020
Nizamabad,Jun,4.9,24.1,52.0,36.0,10.0,2020
Nizamabad,Jul,5.2,25.8,63.0,29.0,10.0,2020
Nizamabad,Aug,4.7,22.2,60.0,27.0,10.0,2020
Nizamabad,Sep,5.4,24.8,60.0,33.0,10.0,2020
Nizamabad,Oct,5.2,24.7,62.0,33.0,10.0,2020
Nizamabad,Nov,6.1,25.9,62.0,33.0,10.0,2020
Nizamabad,Dec,6.0,26.4,71.0,48.0,10.0,2020
Adilabad,Jan,5.8,27.6,78.0,,10.0,2020
Adilabad,Feb,5.6,26.6,82.0,,10.0,2020
Adilabad,Mar,4.7,22.2,71.0,,10.0,2020
Adilabad,Apr,2.0,15.8,52.0,,10.0,2020
Adilabad,Jun,4.7,24.2,75.0,,10.0,2020
Adilabad,Jul,5.5,24.0,74.0,,10.0,2020
Adilabad,Aug,4.6,21.5,72.0,,10.0,2020
Adilabad,Sep,5.3,23.7,72.0,,10.0,2020
Adilabad,Oct,5.3,23.8,72.0,,10.0,2020
Khammam,Jan,6.0,49.1,88.0,,66.0,2020
Khammam,Feb,6.4,49.0,84.0,,67.0,2020
Khammam,Mar,6.1,45.0,83.0,,65.0,2020
Khammam,Apr,6.0,20.0,80.0,,20.0,2020
Khammam,May,6.5,47.1,54.0,,35.0,2020
Khammam,Jun,8.3,37.2,43.0,,45.0,2020
Khammam,Jul,7.9,45.1,43.0,,37.0,2020
Khammam,Aug,8.0,26.0,33.0,,33.0,2020
Khammam,Sep,7.1,38.6,37.0,,40.0,2020
Khammam,Oct,7.4,39.9,49.0,,40.0,2020
Khammam,Nov,6.3,49.7,82.0,,67.0,2020
Khammam,Dec,7.4,38.6,98.0,,41.0,2020
Karimnagar,Jan,6.0,53.4,114.5,,69.5,2020
Karimnagar,Feb,6.45,57.05,116.5,,75.0,2020
Karimnagar,Mar,6.1,45.85,102.5,,62.0,2020
Karimnagar,Apr,7.1,40.35,53.5,,15.0,2020
Karimnagar,May,7.449999999999999,45.05,81.5,,35.0,2020
Karimnagar,Jun,7.95,36.75,64.0,,42.5,2020
Karimnagar,Jul,8.9,47.150000000000006,81.0,,36.0,2020
Karimnagar,Aug,8.0,40.0,59.5,,37.5,2020
Karimnagar,Sep,7.35,40.4,71.5,,39.0,2020
Karimnagar,Oct,7.5,40.75,98.5,,42.0,2020
Karimnagar,Nov,7.2,63.25,108.5,,75.5,2020
Karimnagar,Dec,8.45,47.5,125.0,,49.5,2020
Warangal,Jan,6.05,48.75,90.5,,63.5,2020
Warangal,Feb,6.15,50.6,88.0,,71.5,2020
Warangal,Mar,5.75,38.35,69.5,,50.0,2020
Warangal,Apr,6.4,34.05,20.85,,15.0,2020
Warangal,May,6.35,36.4,43.5,,28.5,2020
Warangal,Jun,6.949999999999999,31.8,44.5,,32.5,2020
Warangal,Jul,8.75,44.6,35.5,,31.5,2020
Warangal,Aug,7.5,45.0,58.0,,33.0,2020
Warangal,Sep,6.75,39.8,34.5,,29.5,2020
Warangal,Oct,7.050000000000001,37.3,54.0,,33.0,2020
Warangal,Nov,6.8,56.25,88.5,,66.5,2020
Warangal,Dec,7.65,36.35,76.0,,38.0,2020
Nizamabad,Mar,,,,40.0,,2020
Nizamabad,Apr,,,,23.0,,2020
Nizamabad,May,,,,30.0,,2020
Nizamabad,Jan,5.8,24.7,68.0,35.0,15.0,2021
Nizamabad,Feb,5.1,23.4,67.0,34.0,20.0,2021
Nizamabad,Mar,5.7,24.8,66.0,30.0,20.0,2021
Nizamabad,Apr,5.3,25.1,67.0,35.0,19.0,2021
Nizamabad,May,6.0,26.0,60.0,24.0,17.0,2021
Nizamabad,Jul,5.7,24.8,54.0,,16.0,2021
Nizamabad,Aug,5.3,22.4,45.0,,15.0,2021
Nizamabad,Sep,5.0,23.1,43.0,,16.0,2021
Nizamabad,Oct,6.2,27.3,59.0,,17.0,2021
Nizamabad,Nov,6.4,26.7,66.0,,17.0,2021
Nizamabad,Dec,5.8,25.5,57.0,,14.0,2021
Adilabad,Feb,5.1,23.0,62.0,,20.0,2021
Adilabad,Mar,6.6,25.2,73.0,,18.0,2021
Adilabad,Apr,6.1,25.4,74.0,,19.0,2021
Adilabad,May,6.0,23.0,67.0,,17.0,2021
Khammam,Jan,6.8,47.0,101.0,,67.0,2021
Khammam,Feb,6.8,38.0,84.0,,68.0,2021
Khammam,Mar,7.7,36.2,65.0,,43.0,2021
Khammam,Apr,7.9,27.6,54.0,,46.0,2021
Khammam,Jun,8.4,34.1,90.0,,38.0,2021
Khammam,Jul,5.5,35.9,69.0,,60.0,2021
Khammam,Aug,6.0,35.9,67.0,,60.0,2021
Khammam,Sep,9.2,34.0,85.0,,48.0,2021
Khammam,Oct,7.4,31.0,61.0,,48.0,2021
Khammam,Nov,7.5,37.6,86.0,,53.0,2021
Khammam,Dec,7.0,41.8,78.0,,55.0,2021
Karimnagar,Jan,7.25,57.0,115.0,,70.5,2021
Karimnagar,Feb,7.25,47.65,118.0,,72.0,2021
Karimnagar,Mar,8.2,42.400000000000006,83.5,,47.0,2021
Karimnagar,Apr,8.3,44.45,113.0,,45.5,2021
Karimnagar,May,8.55,41.85,63.5,,44.0,2021
Karimnagar,Jun,7.9,41.45,73.5,,41.0,2021
Karimnagar,Jul,7.3,40.8,81.75,,34.5,2021
Karimnagar,Aug,7.35,39.65,61.0,,31.5,2021
Karimnagar,Sep,7.300000000000001,41.8,71.0,,35.5,2021
Karimnagar,Oct,7.6,41.4,75.5,,35.0,2021
Karimnagar,Nov,7.35,36.650000000000006,92.5,,30.0,2021
Karimnagar,Dec,7.800000000000001,32.599999999999994,90.0,,33.5,2021
Warangal,Jan,6.550000000000001,43.6,79.5,,69.5,2021
Warangal,Feb,6.85,46.9,86.5,,70.0,2021
Warangal,Mar,7.7,36.75,61.0,,41.0,2021
Warangal,Apr,7.6,33.6,64.0,,45.0,2021
Warangal,May,7.1,32.3,38.0,,37.5,2021
Warangal,Jun,7.3,31.4,57.7,,35.5,2021
Warangal,Jul,5.5,38.05,72.0,,44.0,2021
Warangal,Aug,5.6,30.700000000000003,48.5,45.0,42.0,2021
Warangal,Sep,6.85,34.4,59.5,,43.5,2021
Warangal,Oct,6.949999999999999,32.4,56.0,,43.5,2021
Warangal,Nov,6.65,30.15,61.5,,36.5,2021
Warangal,Dec,6.4,30.95,62.0,,36.5,2021
Nizamabad,Jun,,,,26.0,,2021
Nizamabad,Jan,6.9,25.5,56.0,,14.0,2022
Nizamabad,Feb,7.5,27.5,59.0,,15.0,2022
Nizamabad,Mar,6.6,26.1,64.0,,17.0,2022
Nizamabad,Apr,7.8,24.0,58.0,,16.0,2022
Nizamabad,May,7.3,24.6,56.0,,14.0,2022
Nizamabad,Jun,6.0,23.4,52.0,30.0,15.0,2022
Nizamabad,Jul,5.5,21.3,46.0,24.0,13.0,2022
Nizamabad,Aug,6.7,23.3,52.0,28.0,14.0,2022
Nizamabad,Sep,7.9,25.0,51.0,31.0,16.0,2022
Nizamabad,Oct,8.6,27.4,61.0,35.0,18.0,2022
Nizamabad,Nov,6.8,25.0,56.0,30.0,16.0,2022
Nizamabad,Dec,7.5,22.6,60.0,29.0,17.0,2022
Adilabad,Mar,8.2,25.6,56.0,,14.0,2022
Adilabad,Apr,9.5,28.2,65.0,,18.0,2022
Adilabad,May,7.9,26.5,60.0,,14.0,2022
Adilabad,Jun,8.6,25.0,57.0,31.0,16.0,2022
Adilabad,Jul,6.8,23.1,48.0,26.0,15.0,2022
Adilabad,Aug,8.5,26.2,56.0,31.0,17.0,2022
Adilabad,Sep,9.7,27.5,54.0,33.0,19.0,2022
Adilabad,Oct,10.9,29.3,62.0,38.0,21.0,2022
Adilabad,Nov,7.5,26.4,58.0,32.0,18.0,2022
Adilabad,Dec,9.5,25.3,62.0,33.0,20.0,2022
Khammam,Jan,6.8,29.8,80.0,,45.0,2022
Khammam,Feb,7.6,30.7,78.0,,48.0,2022
Khammam,Mar,7.827777777777778,51.46851851851852,76.41803840877917,,64.64351851851853,2022
Khammam,Apr,7.3,44.6,78.0,,65.0,2022
Khammam,May,7.1,41.0,77.0,,66.0,2022
Khammam,Jun,7.4,45.4,81.0,,67.0,2022
Khammam,Jul,7.4,45.6,73.0,,62.0,2022
Khammam,Aug,7.4,41.5,56.0,52.0,44.0,2022
Khammam,Sep,7.0,31.2,41.0,60.0,38.0,2022
Khammam,Oct,7.4,30.9,57.0,66.0,39.0,2022
Khammam,Nov,8.0,30.0,78.0,64.0,35.0,2022
Khammam,Dec,7.1,29.1,112.0,56.0,33.0,2022
Karimnagar,Jan,7.949999999999999,36.4,88.5,42.0,35.0,2022
Karimnagar,Feb,7.4,37.15,104.0,44.5,31.5,2022
Karimnagar,Mar,7.225444591416814,33.85788130368077,94.06226661459058,44.0,31.85215019218301,2022
Karimnagar,Apr,7.8,34.45,68.5,33.0,33.0,2022
Karimnagar,May,7.05,37.65,75.5,36.0,31.5,2022
Karimnagar,Jun,6.9,38.55,90.0,43.0,37.0,2022
Karimnagar,Jul,7.2,36.05,68.5,20.0,36.5,2022
Karimnagar,Aug,6.7,34.4,51.0,35.0,26.5,2022
Karimnagar,Sep,7.1,36.7,51.5,48.5,30.0,2022
Karimnagar,Oct,7.15,37.1,57.0,56.0,36.0,2022
Karimnagar,Nov,7.1,35.650000000000006,112.5,45.5,31.0,2022
Karimnagar,Dec,6.800000000000001,40.150000000000006,137.0,51.0,38.5,2022
Warangal,Jan,5.949999999999999,30.35,64.5,39.0,35.0,2022
Warangal,Feb,7.2,29.1,68.0,,44.0,2022
Warangal,Mar,6.809786522633745,29.75905381160293,62.58178631782758,,39.04145061728396,2022
Warangal,Apr,6.8,29.8,63.0,,40.0,2022
Warangal,May,6.9,31.1,65.0,,40.0,2022
Warangal,Jun,6.65,32.1,78.5,,39.0,2022
Warangal,Jul,6.800000000000001,29.85,42.5,,36.5,2022
Warangal,Aug,6.0,27.75,49.5,,24.0,2022
Warangal,Sep,6.55,28.9,43.5,,29.0,2022
Warangal,Oct,6.45,30.0,63.0,39.0,39.0,2022
Warangal,Nov,6.0,29.5,72.0,49.0,38.5,2022
Warangal,Dec,6.550000000000001,29.0,81.5,63.0,36.5,2022
